Name,Date,Close,Volume,Open,High,Low
AAPL,10/9/2025,$254.04,38322010,$257.81,$258.00,$253.14
AAPL,10/8/2025,$258.06,36496900,$256.52,$258.52,$256.11
AAPL,10/7/2025,$256.48,31955780,$256.81,$257.40,$255.43
AAPL,10/6/2025,$256.69,44664120,$257.99,$259.07,$255.05
AAPL,10/3/2025,$258.02,49155610,$254.67,$259.24,$253.95
AAPL,10/2/2025,$257.13,42630240,$256.58,$258.18,$254.15
AAPL,10/1/2025,$255.45,48713940,$255.04,$258.79,$254.93
AAPL,09/30/2025,$254.63,37704260,$254.86,$255.92,$253.11
AAPL,09/29/2025,$254.43,40127690,$254.56,$255.00,$253.01
AAPL,09/26/2025,$255.46,46076260,$254.10,$257.60,$253.78
AAPL,09/25/2025,$256.87,55202080,$253.21,$257.17,$251.71
AAPL,09/24/2025,$252.31,42303710,$255.22,$255.74,$251.04
AAPL,09/23/2025,$254.43,60275190,$255.88,$257.34,$253.58
AAPL,09/22/2025,$256.08,105517400,$248.30,$256.64,$248.12
AAPL,09/19/2025,$245.50,163741300,$241.23,$246.30,$240.21
AAPL,09/18/2025,$237.88,44249580,$239.97,$241.20,$236.65
AAPL,09/17/2025,$238.99,46508020,$238.97,$240.10,$237.73
AAPL,09/16/2025,$238.15,63421100,$237.18,$241.22,$236.32
AAPL,09/15/2025,$236.70,42699520,$237.00,$238.19,$235.03
AAPL,9/12/2025,$234.07,55824220,$229.22,$234.51,$229.02
AAPL,9/11/2025,$230.03,50208580,$226.88,$230.45,$226.65
AAPL,9/10/2025,$226.79,83440810,$232.19,$232.42,$225.95
AAPL,9/9/2025,$234.35,66313920,$237.00,$238.78,$233.36
AAPL,9/8/2025,$237.88,48999500,$239.30,$240.15,$236.34
AAPL,9/5/2025,$239.69,54870400,$240.00,$241.32,$238.49
AAPL,9/4/2025,$239.78,47549430,$238.45,$239.90,$236.74
AAPL,9/3/2025,$238.47,66427840,$237.21,$238.85,$234.36
AAPL,9/2/2025,$229.72,44075640,$229.25,$230.85,$226.97
AAPL,08/29/2025,$232.14,39418440,$232.51,$233.38,$231.37
AAPL,08/28/2025,$232.56,38074700,$230.82,$233.41,$229.34
AAPL,08/27/2025,$230.49,31259510,$228.61,$230.90,$228.26
AAPL,08/26/2025,$229.31,54575110,$226.87,$229.49,$224.69
AAPL,08/25/2025,$227.16,30983130,$226.48,$229.30,$226.23
AAPL,08/22/2025,$227.76,42477810,$226.17,$229.09,$225.41
AAPL,08/21/2025,$224.90,30621250,$226.27,$226.52,$223.78
AAPL,08/20/2025,$226.01,42263870,$229.98,$230.47,$225.77
AAPL,08/19/2025,$230.56,39402560,$231.28,$232.87,$229.35
AAPL,08/18/2025,$230.89,37476190,$231.70,$233.12,$230.11
AAPL,08/15/2025,$231.59,56038660,$234.00,$234.28,$229.34
AAPL,08/14/2025,$232.78,51916280,$234.06,$235.12,$230.85
AAPL,08/13/2025,$233.33,69878550,$231.07,$235.00,$230.43
AAPL,8/12/2025,$229.65,55672300,$228.01,$230.80,$227.07
AAPL,8/11/2025,$227.18,61806130,$227.92,$229.56,$224.76
AAPL,8/8/2025,$229.35,113854000,$220.83,$231.00,$219.25
AAPL,8/7/2025,$220.03,90224830,$218.88,$220.85,$216.58
AAPL,8/6/2025,$213.25,108483100,$205.63,$215.38,$205.59
AAPL,8/5/2025,$202.92,44155080,$203.40,$205.34,$202.16
AAPL,8/4/2025,$203.35,75109300,$204.51,$207.88,$201.68
AAPL,8/1/2025,$202.38,104434500,$210.87,$213.58,$201.50
AAPL,07/31/2025,$207.57,80698430,$208.49,$209.84,$207.16
AAPL,07/30/2025,$209.05,45512510,$211.90,$212.39,$207.72
AAPL,07/29/2025,$211.27,51411720,$214.18,$214.81,$210.82
AAPL,07/28/2025,$214.05,37858020,$214.03,$214.85,$213.06
AAPL,07/25/2025,$213.88,40268780,$214.70,$215.24,$213.40
AAPL,07/24/2025,$213.76,46022620,$213.90,$215.69,$213.53
AAPL,07/23/2025,$214.15,46989300,$215.00,$215.15,$212.41
AAPL,07/22/2025,$214.40,46404070,$213.14,$214.95,$212.23
AAPL,07/21/2025,$212.48,51377430,$212.10,$215.78,$211.63
AAPL,07/18/2025,$211.18,48974590,$210.87,$211.79,$209.70
AAPL,07/17/2025,$210.02,48068140,$210.57,$211.80,$209.59
AAPL,07/16/2025,$210.16,47490530,$210.30,$212.40,$208.64
AAPL,07/15/2025,$209.11,42296340,$209.22,$211.89,$208.92
AAPL,07/14/2025,$208.62,38840110,$209.93,$210.91,$207.54
AAPL,7/11/2025,$211.16,39765810,$210.57,$212.13,$209.86
AAPL,7/10/2025,$212.41,44443640,$210.51,$213.48,$210.03
AAPL,7/9/2025,$211.14,48749370,$209.53,$211.33,$207.22
AAPL,7/8/2025,$210.01,42848930,$210.10,$211.43,$208.45
AAPL,7/7/2025,$209.95,50228980,$212.68,$216.23,$208.80
AAPL,7/3/2025,$213.55,34955840,$212.15,$214.65,$211.81
AAPL,7/2/2025,$212.44,67941810,$208.91,$213.34,$208.14
AAPL,7/1/2025,$207.82,78788870,$206.67,$210.19,$206.14
AAPL,06/30/2025,$205.17,91912820,$202.01,$207.39,$199.26
AAPL,06/27/2025,$201.08,73188570,$201.89,$203.22,$200.00
AAPL,06/26/2025,$201.00,50799120,$201.43,$202.64,$199.46
AAPL,06/25/2025,$201.56,39525730,$201.45,$203.67,$200.62
AAPL,06/24/2025,$200.30,54064030,$202.59,$203.44,$200.20
AAPL,06/23/2025,$201.50,55814270,$201.63,$202.30,$198.96
AAPL,06/20/2025,$201.00,96813540,$198.24,$201.70,$196.86
AAPL,06/18/2025,$196.58,45394690,$195.94,$197.57,$195.07
AAPL,06/17/2025,$195.64,38856150,$197.20,$198.39,$195.21
AAPL,06/16/2025,$198.42,43020690,$197.30,$198.69,$196.56
AAPL,06/13/2025,$196.45,51447350,$199.73,$200.37,$195.70
AAPL,6/12/2025,$199.20,43904640,$199.08,$199.68,$197.36
AAPL,6/11/2025,$198.78,60989860,$203.50,$204.50,$198.41
AAPL,6/10/2025,$202.67,54672610,$200.60,$204.35,$200.57
AAPL,6/9/2025,$201.45,72862560,$204.39,$206.00,$200.02
AAPL,6/6/2025,$203.92,46607690,$203.00,$205.70,$202.05
AAPL,6/5/2025,$200.63,55221240,$203.50,$204.75,$200.15
AAPL,6/4/2025,$202.82,43603990,$202.91,$206.24,$202.10
AAPL,6/3/2025,$203.27,46381570,$201.35,$203.77,$200.96
AAPL,6/2/2025,$201.70,35423290,$200.28,$202.13,$200.12
AAPL,05/30/2025,$200.85,70819940,$199.37,$201.96,$196.78
AAPL,05/29/2025,$199.95,51477940,$203.58,$203.81,$198.51
AAPL,05/28/2025,$200.42,45339680,$200.59,$202.73,$199.90
AAPL,05/27/2025,$200.21,56288480,$198.30,$200.74,$197.43
AAPL,05/23/2025,$195.27,78432920,$193.67,$197.70,$193.46
AAPL,05/22/2025,$201.36,46742410,$200.71,$202.75,$199.70
AAPL,05/21/2025,$202.09,59211770,$205.17,$207.04,$200.71
AAPL,05/20/2025,$206.86,42496640,$207.67,$208.47,$205.03
AAPL,05/19/2025,$208.78,46140530,$207.91,$209.48,$204.26
AAPL,05/16/2025,$211.26,54737850,$212.36,$212.57,$209.77
AAPL,05/15/2025,$211.45,45029470,$210.95,$212.96,$209.54
AAPL,05/14/2025,$212.33,49325830,$212.43,$213.94,$210.58
AAPL,05/13/2025,$212.93,51909330,$210.43,$213.40,$209.00
AAPL,5/12/2025,$210.79,63775810,$210.97,$211.27,$206.75
AAPL,5/9/2025,$198.53,36453920,$199.00,$200.54,$197.54
AAPL,5/8/2025,$197.49,50478870,$197.72,$200.05,$194.68
AAPL,5/7/2025,$196.25,68616940,$199.17,$199.44,$193.25
AAPL,5/6/2025,$198.51,51216480,$198.21,$200.65,$197.02
AAPL,5/5/2025,$198.89,69018450,$203.10,$204.10,$198.21
AAPL,5/2/2025,$205.35,101010600,$206.09,$206.99,$202.16
AAPL,5/1/2025,$213.32,57365680,$209.08,$214.56,$208.90
AAPL,04/30/2025,$212.50,52286450,$209.30,$213.58,$206.67
AAPL,04/29/2025,$211.21,36827630,$208.69,$212.24,$208.37
AAPL,04/28/2025,$210.14,38743070,$210.00,$211.50,$207.46
AAPL,04/25/2025,$209.28,38222260,$206.37,$209.75,$206.20
AAPL,04/24/2025,$208.37,47310990,$204.89,$208.83,$202.94
AAPL,04/23/2025,$204.60,52929170,$206.00,$208.00,$202.80
AAPL,04/22/2025,$199.74,52976370,$196.12,$201.59,$195.97
AAPL,04/21/2025,$193.16,46742540,$193.27,$193.80,$189.81
AAPL,04/17/2025,$196.98,52164680,$197.20,$198.83,$194.42
AAPL,04/16/2025,$194.27,59732420,$198.36,$200.70,$192.37
AAPL,04/15/2025,$202.14,51343870,$201.86,$203.51,$199.80
AAPL,04/14/2025,$202.52,101352900,$211.44,$212.94,$201.16
AAPL,4/11/2025,$198.15,87435920,$186.10,$199.54,$186.06
AAPL,4/10/2025,$190.42,121880000,$189.07,$194.78,$183.00
AAPL,4/9/2025,$198.85,184395900,$171.95,$200.61,$171.89
AAPL,4/8/2025,$172.42,120859500,$186.70,$190.34,$169.21
AAPL,4/7/2025,$181.46,160466300,$177.20,$194.15,$174.62
AAPL,4/4/2025,$188.38,125910900,$193.89,$199.88,$187.34
AAPL,4/3/2025,$203.19,103419000,$205.54,$207.49,$201.25
AAPL,4/2/2025,$223.89,35905900,$221.32,$225.19,$221.02
AAPL,4/1/2025,$223.19,36412740,$219.81,$223.68,$218.90
AAPL,03/31/2025,$222.13,65299320,$217.01,$225.62,$216.23
AAPL,03/28/2025,$217.90,39818620,$221.67,$223.81,$217.68
AAPL,03/27/2025,$223.85,37094770,$221.39,$224.99,$220.56
AAPL,03/26/2025,$221.53,34532660,$223.51,$225.02,$220.47
AAPL,03/25/2025,$223.75,34493580,$220.77,$224.10,$220.08
AAPL,03/24/2025,$220.73,44299480,$221.00,$221.48,$218.58
AAPL,03/21/2025,$218.27,94127770,$211.56,$218.84,$211.28
AAPL,03/20/2025,$214.10,48862950,$213.99,$217.49,$212.22
AAPL,03/19/2025,$215.24,54385390,$214.22,$218.76,$213.75
AAPL,03/18/2025,$212.69,42432430,$214.16,$215.15,$211.49
AAPL,03/17/2025,$214.00,48073430,$213.31,$215.22,$209.97
AAPL,03/14/2025,$213.49,60107580,$211.25,$213.95,$209.58
AAPL,03/13/2025,$209.68,61368330,$215.95,$216.84,$208.42
AAPL,3/12/2025,$216.98,62547470,$220.14,$221.75,$214.91
AAPL,3/11/2025,$220.84,76137410,$223.81,$225.84,$217.45
AAPL,3/10/2025,$227.48,72071200,$235.54,$236.16,$224.22
AAPL,3/7/2025,$239.07,46273570,$235.11,$241.37,$234.76
AAPL,3/6/2025,$235.33,45170420,$234.44,$237.86,$233.16
AAPL,3/5/2025,$235.74,47227640,$235.42,$236.55,$229.23
AAPL,3/4/2025,$235.93,53798060,$237.71,$240.07,$234.68
AAPL,3/3/2025,$238.03,47183990,$241.79,$244.03,$236.11
AAPL,02/28/2025,$241.84,56833360,$236.95,$242.09,$230.20
